scenario,grid_code,week_rank,top_24_coverage,top_96_coverage,top_672_coverage
0,1-MV-semiurb--0-sw,1,0.2916666666666667,0.16666666666666666,0.12351190476190477
0,1-MV-semiurb--0-sw,2,0.5,0.3229166666666667,0.2663690476190476
0,1-MV-semiurb--0-sw,3,0.5416666666666666,0.3645833333333333,0.2857142857142857
0,1-MV-semiurb--0-sw,4,0.5833333333333334,0.3958333333333333,0.3169642857142857
0,1-MV-semiurb--0-sw,5,0.5833333333333334,0.4270833333333333,0.34226190476190477
0,1-MV-semiurb--0-sw,6,0.5833333333333334,0.4479166666666667,0.3645833333333333
0,1-MV-semiurb--0-sw,7,0.5833333333333334,0.4583333333333333,0.3854166666666667
0,1-MV-semiurb--0-sw,8,0.5833333333333334,0.4583333333333333,0.3913690476190476
0,1-MV-semiurb--0-sw,9,0.5833333333333334,0.4583333333333333,0.40327380952380953
0,1-MV-semiurb--0-sw,10,0.5833333333333334,0.4583333333333333,0.40773809523809523
0,1-MV-semiurb--0-sw,11,0.5833333333333334,0.4583333333333333,0.41220238095238093
0,1-MV-semiurb--0-sw,12,0.5833333333333334,0.4583333333333333,0.41369047619047616
0,1-MV-semiurb--0-sw,13,0.5833333333333334,0.4583333333333333,0.42857142857142855
0,1-MV-semiurb--0-sw,14,0.5833333333333334,0.4583333333333333,0.42857142857142855
0,1-MV-semiurb--0-sw,15,0.5833333333333334,0.4583333333333333,0.42857142857142855
1,1-MV-semiurb--1-sw,1,0.0,0.0,0.043154761904761904
1,1-MV-semiurb--1-sw,2,0.0,0.0,0.06845238095238096
1,1-MV-semiurb--1-sw,3,0.0,0.0,0.08630952380952381
1,1-MV-semiurb--1-sw,4,0.0,0.0,0.11458333333333333
1,1-MV-semiurb--1-sw,5,0.0,0.0,0.14583333333333334
1,1-MV-semiurb--1-sw,6,0.0,0.0,0.20535714285714285
1,1-MV-semiurb--1-sw,7,0.0,0.0,0.21726190476190477
1,1-MV-semiurb--1-sw,8,0.0,0.0,0.21726190476190477
1,1-MV-semiurb--1-sw,9,0.0,0.0,0.21726190476190477
1,1-MV-semiurb--1-sw,10,0.0,0.0,0.21726190476190477
1,1-MV-semiurb--1-sw,11,0.0,0.0,0.21726190476190477
1,1-MV-semiurb--1-sw,12,0.0,0.0,0.21726190476190477
1,1-MV-semiurb--1-sw,13,0.0,0.0,0.21726190476190477
1,1-MV-semiurb--1-sw,14,0.0,0.0,0.21726190476190477
1,1-MV-semiurb--1-sw,15,0.0,0.0,0.21726190476190477
2,1-MV-semiurb--2-sw,1,0.0,0.0,0.026785714285714284
2,1-MV-semiurb--2-sw,2,0.0,0.0,0.04017857142857143
2,1-MV-semiurb--2-sw,3,0.0,0.0,0.06547619047619048
2,1-MV-semiurb--2-sw,4,0.0,0.0,0.0818452380952381
2,1-MV-semiurb--2-sw,5,0.0,0.0,0.09226190476190477
2,1-MV-semiurb--2-sw,6,0.0,0.0,0.10119047619047619
2,1-MV-semiurb--2-sw,7,0.0,0.0,0.1488095238095238
2,1-MV-semiurb--2-sw,8,0.0,0.0,0.1488095238095238
2,1-MV-semiurb--2-sw,9,0.0,0.0,0.1488095238095238
2,1-MV-semiurb--2-sw,10,0.0,0.0,0.1488095238095238
2,1-MV-semiurb--2-sw,11,0.0,0.0,0.1488095238095238
2,1-MV-semiurb--2-sw,12,0.0,0.0,0.1488095238095238
2,1-MV-semiurb--2-sw,13,0.0,0.0,0.1488095238095238
2,1-MV-semiurb--2-sw,14,0.0,0.0,0.1488095238095238
2,1-MV-semiurb--2-sw,15,0.0,0.0,0.1488095238095238
